"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2020"	"2020"	651	56145	1159.5	1070.4	1248.6
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2020"	"2020"	2691	229287	1173.6	1129.3	1218.0
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2020"	"2020"	378	24589	1537.3	1382.3	1692.2
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2020"	"2020"	297	22136	1341.7	1189.1	1494.3
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2020"	"2020"	849	57879	1466.9	1368.2	1565.5
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2020"	"2020"	149	9976	1493.6	1253.8	1733.4
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2020"	"2020"	312	19504	1599.7	1422.2	1777.2
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2020"	"2020"	1784	113469	1572.2	1499.3	1645.2
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2020"	"2020"	597	32865	1816.5	1670.8	1962.2
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2020"	"2020"	460	26294	1749.4	1589.6	1909.3
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2020"	"2020"	630	44397	1419.0	1308.2	1529.8
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2020"	"2020"	188	12418	1513.9	1297.5	1730.3
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2020"	"2020"	436	23291	1872.0	1696.3	2047.7
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2020"	"2020"	251	13112	1914.3	1677.5	2151.1
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2020"	"2020"	235	14967	1570.1	1369.4	1770.9
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2020"	"2020"	707	53230	1328.2	1230.3	1426.1
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2020"	"2020"	817	55411	1474.4	1373.3	1575.5
